stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,current_assets,cash,short_term_financial,receivables,inventory,total_assets,current_liabilities,total_liabilities,total_equity,advances,cogs,gross_profit,sga,operating_cash_flow,market
006920,모헨즈,81161016764.0,-2959160872.0,-2631339876.0,3.5865029907675825,0.4227969031230999,-0.047857911533432024,11.627883325367652,-106.30613140251064,,7.6081593703480275,-0.9209456063999975,295.26134359034955,270.7139890528591,566.5609753746539,18.340125792873465,-19.225049969909797,3.962122159399023,-3.6460372109490047,-3.2421228576416308,-4.400935995622075,-69.78670285251152,29.553362010028163,4.005886666738024,-9.976458374572275,-9.248591595337523,33032578975.0,4983366523.0,4453941812.0,20260437580.0,2746253260.0,59790459998.0,11187573210.0,21362443356.0,3770546205.0,,77945318134.0,3215698630.0,6174859502.0,125930431.0,KOSDAQ
006980,우성,,19373123437.0,12933762577.0,,0.14421882790991533,2.7170659534521313,,104.42371888966147,,,,134.660939556013,131.72804811535192,1616.814421346278,,,,,,2.797662099178302,83.71367363754045,,,8.412996270168424,,280420768698.0,60690407874.0,,-107085154.0,6107514733.0,462306101255.0,208242100213.0,249797828098.0,15450000000.0,,508187300217.0,104836207908.0,,35141885948.0,KOSPI
007070,GS리테일,11957421688837.0,292119604403.0,-10440728035.0,28.201098656143667,0.4475220259768404,-89.8964507893151,2.4624037607695826,33.59811037659753,,21.92434255175942,-0.6527813764223467,90.08400514453648,73.18102966407584,429.3457579150389,1.3477642515152048,2.8425533684711968,24.350256434873575,2.4429982650499973,-0.08731588051918476,-0.13952414965973983,-1.065528754898024,35.445358294502185,11.77985746560884,-4.3890249677628255,7.231578336234023,1797888273557.0,294440001357.0,,1015073545987.0,337348027053.0,7483097413933.0,1995790785137.0,4207002646119.0,979863564170.0,,9045758844606.0,2911662844231.0,2621586091419.0,938584394003.0,KOSPI
007160,사조산업,706210125216.0,33151862048.0,-29099385811.0,0.8220382341182466,2.01137883664954,0.7058144707726457,3.387208264492615,24.051748778962985,,7.364150819289575,-1.963705897794263,60.077353345739816,39.622149518770215,5805.203122055509,5.5195093326229,11.179060286963265,12.058484823331254,4.6943340040416786,-4.120499660366626,-2.321953400023131,-273.7651855171168,6.784118509012765,9.065511648196933,11.545803396684057,-0.36674310972079205,305736644375.0,23740807726.0,180000000.0,77900746546.0,104097551403.0,1253228674215.0,508904982241.0,617053790243.0,10629322993.0,,621051884446.0,85158240770.0,52006378722.0,-20538767596.0,KOSPI
007210,벽산,610688417236.0,23273390192.0,22802905293.0,,1.179486584661037,1.5963420784006148,11.065589092855713,96.78617272274136,,15.514087452453968,0.47701716926640536,142.46034807707332,116.3778837721469,832.9724863943991,8.559128567582281,-5.03891642863877,19.325096395007073,3.811008942553109,3.7339672162453734,3.4561447226602446,66.51956036464411,12.611007537229128,5.877084474681413,-2.410439007549516,-2.6284774210892543,264493666570.0,67576270889.0,,103910096897.0,48425029914.0,659778658674.0,185661252510.0,285542968336.0,34280000000.0,,492672291932.0,118016125304.0,94742735112.0,36401237229.0,KOSPI
007310,오뚜기,,177251297728.0,0.0,,2.023563786909988,,,77.6082761515769,20.38317984435532,,,143.2997667403017,93.67694359822747,435.2277007328987,11.95061458308282,,,,,0.0,0.0,,,1.5833254150754064,,1501272831876.0,412685029869.0,,17115041073.0,519871022255.0,3641076426477.0,1047644993447.0,1438289345393.0,330468245236.0,17488877734.0,3082903690714.0,591641731291.0,414390433563.0,,KOSPI
007340,DN오토모티브,3675704255000.0,527907609000.0,281602585000.0,,3.572500623901885,,15.519823098498984,36.02036848080362,,11.93089820551953,1.046428549023224,81.99814633781463,50.27885229208323,115.36358460247705,15.60971135398922,7.021663097494306,26.292978840322938,14.362080634803412,7.661187230091775,5.337748866444043,11.495567295851975,4.557220822176088,6.0251786987465294,-0.3259527266303555,7.347615824124662,2085071777000.0,387784364000.0,182678434000.0,610057301000.0,806567072000.0,5275680667000.0,2542827942000.0,2826018308000.0,2449662359000.0,,2709252113000.0,966452142000.0,438544533000.0,,KOSPI
007390,네이처셀,20734613571.0,-3646243657.0,-2838308819.0,5.907537578982522,6.269852942825306,-0.05522179861147802,80.86678804784367,-153.28483764206837,,63.197398915247916,12.712466882771345,331.83266288980525,264.11649050460903,36.32056472178747,15.355085386908085,-35.87346920464235,45.61210057093859,-17.585298344309326,-13.688747124613581,-3.798009978988257,-8.80982805074306,3.5190189498954774,4.157946714915186,58.70631447875772,-94.57978368340007,28873608972.0,16767416009.0,,4986743456.0,5892157407.0,74731473448.0,8701255844.0,11701588109.0,32217528000.0,108950000.0,11277120776.0,9457492795.0,13103736452.0,156736518.0,KOSDAQ
007460,에이프로젠,117974152260.0,-95570619373.0,0.0,,8.623820794946532,,38.26970619504751,-15.746945993862987,-70.9090909090909,109.18612353587088,28.108337672592427,97.21062356688893,64.07459041487242,49.63912368753926,4.205996691417452,-21.410072913139338,28.176328133930173,-81.00979540194069,0.0,0.0,0.0,1.9373760154777688,1.9271828604529928,52.25946561005189,-73.66953852319122,178643064135.0,45148361456.0,,61215857966.0,60893781753.0,717264630402.0,183769075416.0,258654760913.0,521070360833.0,1600000000.0,84733368006.0,33240784254.0,128811403627.0,-32656970508.0,KOSPI
007530,와이엠,177146007940.0,3985939641.0,2501423167.0,,2.044342072778718,,9.192657716292198,136.18224421075723,,12.803340491128653,0.38639019063815994,88.77018697603823,56.34951930094721,-1737.0806419921998,8.615868075362107,2.8714215272812904,15.053427686065643,2.250087194936988,1.4120686071837651,1.683929986322881,-45.316787752102336,6.9100600289396805,7.373758579767284,-4.421352067976909,7.2927735952582,70193149576.0,16284426168.0,,24023841576.0,25635957893.0,148546744064.0,79072886931.0,95884416711.0,-5519859838.0,,150479461736.0,26666546204.0,22680606563.0,,KOSDAQ
