corp_code,corp_name,stock_code,modify_date,market
01792825,대신밸런스제17호스팩,471050,20240124,KOSDAQ
01350869,우리금융지주,316140,20230327,KOSPI
01493535,모비데이즈,363260,20230427,KOSDAQ
00180795,인팩,023810,20230427,KOSPI
00646732,진양홀딩스,100250,20230516,KOSPI
01335578,애니플러스,310200,20230516,KOSDAQ
00564562,엠씨넥스,097520,20230227,KOSPI
00105040,뉴인텍,012340,20230502,KOSDAQ
00152437,케이프,064820,20230502,KOSDAQ
00303192,디에이피,066900,20231205,KOSDAQ
00353762,키이스트,054780,20231208,KOSDAQ
00173999,유성티엔에스,024800,20240207,KOSDAQ
00862312,포스뱅크,105760,20240129,KOSDAQ
00356389,프럼파스트,035200,20230502,KOSDAQ
00418379,자연과환경,043910,20230502,KOSDAQ
00309460,HB인베스트먼트,440290,20240220,KOSDAQ
00652007,메카로,241770,20230502,KOSDAQ
00769158,케이엔제이,272110,20230502,KOSDAQ
00102113,경인양행,012610,20230227,KOSPI
00145598,이연제약,102460,20230802,KOSPI
00454399,이상네트웍스,080010,20231006,KOSDAQ
01476219,코스텍시스,355150,20231123,KOSDAQ
01043853,베노티앤알,206400,20230919,KOSDAQ
00409672,티비에이치글로벌,084870,20230922,KOSPI
00664048,우리넷,115440,20240201,KOSDAQ
00138057,써니전자,004770,20240222,KOSPI
00605328,씨앤지하이테크,264660,20240226,KOSDAQ
01797440,SK증권제11호스팩,472230,20240304,KOSDAQ
00468374,원익QnC,074600,20240307,KOSDAQ
00260569,유니셈,036200,20240227,KOSDAQ
00159971,KC그린홀딩스,009440,20240308,KOSPI
01357446,퓨런티어,370090,20240318,KOSDAQ
01787072,유진스팩10호,468760,20240229,KOSDAQ
01791561,하나31호스팩,469900,20240305,KOSDAQ
00367710,동인기연,111380,20231121,KOSPI
00611912,아모그린텍,125210,20240228,KOSDAQ
01293953,싸이버원,356890,20240223,KOSDAQ
00692254,아이패밀리에스씨,114840,20240223,KOSDAQ
00351995,지에스이,053050,20240226,KOSDAQ
00957373,펨트론,168360,20240226,KOSDAQ
00126201,삼성공조,006660,20230526,KOSPI
00760999,상신전자,263810,20230526,KOSDAQ
00604028,피코그램,376180,20240226,KOSDAQ
