stock_code,corp_name,revenue,operating_profit,net_income,cash_survival_years,inventory_months,cash_flow_match,cash_to_revenue,cash_to_op_profit_x3,happy_debt_growth,sga_ratio,sga_ratio_change,current_ratio,quick_ratio,debt_ratio,cash_months,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,inventory_turnover,receivable_turnover,debt_growth,revenue_minus_debt_growth,current_price,low_52w,high_52w,pct_from_low,range_position,bottom_dwell_ratio,market
001070,대한방직,133909117274.0,2418669755.0,1115640400.0,,3.281229629487833,4.685814715028248,15.695437963342332,289.6581531445991,,9.081454368127014,-3.5246141286105104,166.7147553972453,90.8587174712175,145.859661461736,20.73954764570962,-10.371118466469905,10.887656816651118,1.8062024485241028,0.8331325175695221,0.6017526083245269,3.0668115644758145,4.103994385910017,8.469639537002077,6.585440803858379,-16.956559270328285,6140.0,4805.0,9460.0,27.78,28.68,25.0,KOSPI
001120,LX인터내셔널,16637572685167.0,489185373375.0,175694960423.0,,0.6960600390897708,,7.503838374981492,85.07044784826778,14.377412087377916,6.117850271905714,-0.375883211156693,134.73170345083264,108.89651274240752,210.92837489430235,14.718578666968343,14.628438994446244,9.058095117904953,2.9402448459992394,1.0560131802137125,1.9672780665738177,6.604415401573831,18.957038745609513,10.52212778082522,14.04093514563795,0.5875038488082929,37050.0,28450.0,57700.0,30.23,29.4,5.0,KOSPI
001130,대한제분,1374735359151.0,72306706525.0,48742551364.0,,2.1303259169243107,1.559302799794245,7.3164911277263585,46.36840085606891,,15.01798170176569,0.9176755789281241,167.40533309365983,126.61150741656519,1462.4773213582973,5.8461846123033805,-4.628866260231082,20.277663577530834,5.259681875765144,3.5455952332601752,3.123596703937175,136.26604954503355,7.065699725468553,,28.409532771540434,-33.03839903177152,10960.0,10500.0,17270.0,4.38,6.79,32.5,KOSPI
001200,유진증권,,58338142158.0,0.0,,,,,267.97660753622154,,,,,,,22.432559669835353,,,,,0.0,,,,11.810253409558594,,4110.0,3105.0,6920.0,32.37,26.34,5.0,KOSPI
001210,금호전기,53171559352.0,-4957267533.0,-12196816073.0,0.20492801105142974,,0.1191073438596732,4.700763508651895,-16.80676731930309,,35.76689048199724,-7.333226009220041,94.93053099612922,,1525.594078485455,1.5771335261088884,-0.3774086559973201,26.4437342807986,-9.323156201198634,-22.938608951180267,-36.58141462741786,-761.7956136403765,,6.996488877724778,-46.61843999840935,46.24103134241203,,,,,,,KOSPI
001230,동국홀딩스,1999426088314.0,58003101705.0,0.0,,1.4926243969523592,,11.38716214961402,130.84236534795153,55.59789670349756,5.550735692940037,-0.613291929932136,167.3693112137421,130.58257193065006,629.255218846986,24.617627888347805,8.598729619190246,8.451723233515276,2.9009875405752386,0.0,0.0,0.0,8.781739219813295,5.0968850251424636,13.244764472042927,-4.646034852852681,1626.0,1510.0,2667.0,7.68,10.03,32.5,KOSPI
001250,GS글로벌,4066493928000.0,77879797000.0,54187863000.0,,,-0.39959807973973804,2.8199599219959786,49.08140639692046,,,,140.74497657828243,,164.00992677242877,,3.8299922355551907,5.011449410923601,1.915158325056277,1.3325450365703828,3.7639832212112037,10.18543960322233,,8.948359471802142,-8.451920567905422,12.281912803460612,2540.0,2200.0,5690.0,15.45,9.74,65.0,KOSPI
001260,남광토건,504249000325.0,7304140896.0,6198754619.0,,,0.018144713238890026,9.437132320010415,217.1674308247992,,3.37281788997863,-0.3754454568051666,119.61464163527904,,-20278.71409684824,33.575956821327964,-7.9305918755591485,4.821336556608076,1.4485186666294458,1.2293042951011823,1.4863922392399664,-422.7438931891448,,7.688087308310268,12.506405765399714,-20.436997640958865,7360.0,6730.0,13400.0,9.36,9.45,32.5,KOSPI
001270,부국증권,,,,,,,,,,,,,,-1506.3642069152934,,,,,,,,,,-12.986694960902758,,53900.0,39500.0,104600.0,36.46,22.12,10.0,KOSPI
001290,상상인증권,,,0.0,,,,,,,,,,,3859679629.452206,,,,,,0.0,0.0,,,-45.87412506884503,,691.0,619.0,1782.0,11.63,6.19,35.0,KOSPI
