stock_code,current_price,low_52w,high_52w,avg_52w,pct_from_avg_52w,range_position,bottom_dwell_ratio,corp_name,market_cap,updated_at
003570,30600.0,28000.0,76400.0,51007.54,-40.01,5.37,172.86,SNT다이내믹스,1017532528200.0,2026-08-03T22:19:26
003580,1300.0,1000.0,3230.0,2092.04,-37.86,13.45,223.0,HLB글로벌,65862556500.0,2026-08-03T22:19:26
003620,2695.0,2525.0,4670.0,3493.86,-22.86,7.93,84.95,KG모빌리티,545400387840.0,2026-08-03T22:19:26
003670,136800.0,114700.0,299500.0,188733.09,-27.52,11.96,161.12,포스코퓨처엠,12167842896000.0,2026-08-03T22:19:26
003650,141700.0,102100.0,169000.0,118462.13,19.62,59.19,65.52,미창석유공업,246511522400.0,2026-08-03T22:19:26
003690,13560.0,10010.0,15400.0,11952.5,13.45,65.86,53.85,코리안리,2396337180360.0,2026-08-03T22:19:26
003720,6380.0,3705.0,13980.0,6518.47,-2.12,26.03,277.33,삼영,216920000000.0,2026-08-03T22:19:26
003780,3715.0,3660.0,8090.0,5976.34,-37.84,1.24,121.04,진양산업,48295000000.0,2026-08-03T22:19:26
0039P0,7350.0,4560.0,22500.0,6574.13,11.8,15.55,393.42,매드업,138234390000.0,2026-08-03T22:19:26
0037T0,1986.0,1950.0,2745.0,2005.91,-0.99,4.53,40.77,KB제32호스팩,12571380000.0,2026-08-03T22:19:26
003800,32000.0,26400.0,39850.0,31422.98,1.84,41.64,50.95,에이스침대,354880000000.0,2026-08-03T22:19:26
003960,30250.0,23200.0,46350.0,35855.7,-15.63,30.45,99.78,사조대림,277225126750.0,2026-08-03T22:19:26
003850,8130.0,7410.0,10800.0,8902.21,-8.67,21.24,45.75,보령,697449992910.0,2026-08-03T22:19:26
003830,113000.0,101200.0,151000.0,120126.47,-5.93,23.69,49.21,대한화섬,150064000000.0,2026-08-03T22:19:26
003920,43550.0,39500.0,71000.0,52253.31,-16.66,12.86,79.75,남양유업,261300000000.0,2026-08-03T22:19:26
004000,43700.0,37550.0,71800.0,47177.39,-7.37,17.96,91.21,롯데정밀화학,1127460000000.0,2026-08-03T22:19:26
004060,2305.0,2155.0,9030.0,3595.96,-35.9,2.18,319.03,SG세계물산,46658953280.0,2026-08-03T22:19:26
004020,24800.0,23650.0,50400.0,33825.0,-26.68,4.3,113.11,현대제철,3309455468000.0,2026-08-03T22:19:26
004080,14050.0,13150.0,14760.0,13893.9,1.12,55.9,12.24,신흥,130665000000.0,2026-08-03T22:19:26
